Open,High,Low,Close,Date
1295.66,1307.13,1269.37,1293.02,06/21/13 00:00
1294.88,1298.84,1287.82,1292.2,06/22/13 00:00
1292.2,1297.85,1292.2,1292.2,06/23/13 00:00
1292.2,1301.29,1278.34,1282.03,06/24/13 00:00
1286.46,1290.05,1273.5,1285.21,06/25/13 00:00
1279.98,1284.22,1224.07,1235.48,06/26/13 00:00
1240.2,1248.15,1221.98,1234.48,06/27/13 00:00
1232.65,1234.95,1180.64,1198.32,06/28/13 00:00
1192.04,1235.06,1187.02,1234.23,06/29/13 00:00
1229.2,1234.23,1229.2,1234.23,06/30/13 00:00
1229.2,1247.72,1225.23,1234.05,07/01/13 00:00
1241.18,1267.21,1235.07,1251.8,07/02/13 00:00
1255.6,1258.77,1236.7,1249.18,07/03/13 00:00
1248.97,1259.86,1244.85,1249.93,07/04/13 00:00
1248.23,1252.72,1217.23,1237.94,07/05/13 00:00
1222.36,1225.67,1208.2,1222.86,07/06/13 00:00
1222.86,1222.86,1222.86,1222.86,07/07/13 00:00
1222.86,1238.38,1215.66,1235.72,07/08/13 00:00
1232.77,1260.19,1230.54,1249.16,07/09/13 00:00
1250.67,1259.55,1242.36,1256.56,07/10/13 00:00
1254.25,1298.65,1247.69,1284.3,07/11/13 00:00
1285.9,1288.47,1267.81,1273.9,07/12/13 00:00
1278.0,1285.92,1273.92,1279.9,07/13/13 00:00
1279.9,1279.9,1279.9,1279.9,07/14/13 00:00
1279.9,1294.42,1274.49,1274.68,07/15/13 00:00
1283.92,1294.0,1277.12,1291.75,07/16/13 00:00
1291.21,1299.01,1283.32,1284.39,07/17/13 00:00
1294.0,1299.59,1270.2,1280.99,07/18/13 00:00
1284.55,1294.6,1281.16,1289.27,07/19/13 00:00
1292.9,1297.67,1290.28,1291.3,07/20/13 00:00
1291.3,1291.3,1291.3,1291.3,07/21/13 00:00
1291.3,1325.28,1291.3,1323.49,07/22/13 00:00
1320.89,1339.28,1320.36,1329.92,07/23/13 00:00
1331.76,1347.17,1328.46,1335.04,07/24/13 00:00
1336.61,1338.87,1308.92,1320.19,07/25/13 00:00
1321.48,1340.42,1320.72,1322.49,07/26/13 00:00
1325.68,1334.2,1312.59,1328.6,07/27/13 00:00
1328.6,1328.6,1328.6,1328.6,07/28/13 00:00
1328.6,1338.02,1322.86,1332.69,07/29/13 00:00
1329.4,1332.76,1318.24,1321.98,07/30/13 00:00
1324.11,1338.59,1318.23,1324.57,07/31/13 00:00
1322.56,1333.68,1306.22,1327.38,08/01/13 00:00
1323.33,1324.57,1283.19,1290.13,08/02/13 00:00
1311.81,1316.99,1283.8,1283.8,08/03/13 00:00
1283.8,1283.8,1283.8,1283.8,08/04/13 00:00
1283.8,1320.44,1283.8,1306.23,08/05/13 00:00
1309.5,1310.64,1284.81,1288.81,08/06/13 00:00
1286.84,1288.93,1272.9,1278.34,08/07/13 00:00
1284.12,1297.27,1279.41,1291.76,08/08/13 00:00
1291.87,1316.77,1291.68,1309.55,08/09/13 00:00
1309.33,1317.03,1307.41,1314.0,08/10/13 00:00
1314.0,1314.0,1314.0,1314.0,08/11/13 00:00
1314.0,1333.36,1313.8,1329.3,08/12/13 00:00
1341.43,1343.48,1323.6,1327.17,08/13/13 00:00
1329.83,1335.54,1316.02,1324.75,08/14/13 00:00
1321.45,1346.16,1318.96,1333.5,08/15/13 00:00
1325.41,1372.54,1321.74,1364.87,08/16/13 00:00
1372.38,1379.52,1360.36,1371.3,08/17/13 00:00
1371.3,1371.3,1371.3,1371.3,08/18/13 00:00
1371.3,1384.31,1370.93,1372.13,08/19/13 00:00
1370.12,1372.69,1352.29,1370.63,08/20/13 00:00
1366.94,1377.39,1359.78,1366.5,08/21/13 00:00
1363.31,1378.44,1355.18,1367.63,08/22/13 00:00
1372.44,1381.54,1368.69,1371.91,08/23/13 00:00
1372.02,1399.89,1371.31,1379.7,08/24/13 00:00
1379.7,1379.7,1379.7,1379.7,08/25/13 00:00
1379.7,1406.6,1379.7,1395.76,08/26/13 00:00
1396.49,1422.34,1389.67,1420.02,08/27/13 00:00
1417.65,1433.49,1413.4,1428.58,08/28/13 00:00
1420.45,1429.95,1404.62,1413.94,08/29/13 00:00
1409.23,1413.75,1392.4,1396.09,08/30/13 00:00
1393.93,1404.9,1388.15,1390.0,08/31/13 00:00
1390.0,1390.0,1390.0,1390.0,09/01/13 00:00
1390.0,1398.09,1373.74,1390.07,09/02/13 00:00
1390.4,1400.96,1383.26,1393.89,09/03/13 00:00
1402.31,1416.2,1393.3,1400.44,09/04/13 00:00
1393.63,1399.45,1381.14,1397.0,09/05/13 00:00
1389.04,1393.07,1360.16,1361.32,09/06/13 00:00
1381.68,1391.62,1380.43,1384.1,09/07/13 00:00
1384.1,1384.1,1384.1,1384.1,09/08/13 00:00
1384.1,1393.85,1382.05,1386.73,09/09/13 00:00
1389.0,1390.85,1362.96,1364.51,09/10/13 00:00
1365.09,1368.29,1356.78,1363.74,09/11/13 00:00
1362.44,1365.97,1329.64,1336.19,09/12/13 00:00
1331.99,1333.48,1304.92,1317.46,09/13/13 00:00
1317.09,1327.06,1307.1,1321.9,09/14/13 00:00
1321.9,1321.9,1321.9,1321.9,09/15/13 00:00
1321.9,1334.46,1307.47,1313.38,09/16/13 00:00
1320.04,1325.37,1303.14,1317.88,09/17/13 00:00
1313.36,1316.43,1291.68,1303.72,09/18/13 00:00
1298.28,1375.0,1296.3,1370.96,09/19/13 00:00
1366.62,1374.84,1346.25,1349.99,09/20/13 00:00
1352.47,1356.44,1320.9,1320.9,09/21/13 00:00
1320.9,1320.9,1320.9,1320.9,09/22/13 00:00
1320.9,1331.57,1313.75,1323.33,09/23/13 00:00
1320.67,1330.12,1306.77,1316.03,09/24/13 00:00
1309.19,1329.66,1305.76,1320.88,09/25/13 00:00
1321.03,1339.16,1320.49,1334.7,09/26/13 00:00
1331.9,1343.73,1318.91,1341.67,09/27/13 00:00
1334.83,1342.07,1333.36,1335.89,09/28/13 00:00
1335.82,1335.89,1335.82,1335.89,09/29/13 00:00
1335.82,1351.04,1325.88,1332.1,09/30/13 00:00
1325.11,1337.29,1286.99,1311.67,10/01/13 00:00
1297.04,1303.45,1277.67,1298.29,10/02/13 00:00
1298.69,1323.58,1298.17,1305.21,10/03/13 00:00
1312.76,1324.7,1306.68,1318.38,10/04/13 00:00
1316.28,1318.62,1305.92,1310.61,10/05/13 00:00
1306.1,1310.61,1306.1,1310.61,10/06/13 00:00
1306.1,1320.88,1306.1,1320.35,10/07/13 00:00
1317.84,1328.31,1315.9,1317.91,10/08/13 00:00
1323.59,1329.67,1302.68,1304.62,10/09/13 00:00
1307.3,1314.02,1294.69,1303.92,10/10/13 00:00
1297.88,1302.73,1262.92,1287.33,10/11/13 00:00
1267.42,1272.06,1262.8,1271.81,10/12/13 00:00
1267.8,1271.81,1267.8,1271.81,10/13/13 00:00
1267.8,1289.65,1267.8,1284.7,10/14/13 00:00
1283.56,1286.63,1251.71,1260.72,10/15/13 00:00
1266.78,1287.59,1261.63,1278.7,10/16/13 00:00
1279.29,1322.82,1269.3,1318.37,10/17/13 00:00
1316.01,1326.09,1313.79,1319.99,10/18/13 00:00
1314.14,1319.93,1311.5,1315.91,10/19/13 00:00
1311.5,1315.91,1311.5,1315.91,10/20/13 00:00
1311.5,1323.98,1311.5,1315.7,10/21/13 00:00
1317.58,1334.48,1310.14,1316.96,10/22/13 00:00
